Sample in Buffer,Sample in Window,TRIGGER,design_1_i/AD7960_0_data_rd_rdy_o,design_1_i/AD7960_0_data_o[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
656,656,0,0,3e21f
657,657,0,0,3c62f
658,658,0,0,38c5e
659,659,0,0,318bd
660,660,0,0,2317a
661,661,0,0,220f4
662,662,0,0,062f4
663,663,0,0,062f4
664,664,0,0,062f4
665,665,0,0,062f4
666,666,0,0,062f4
667,667,0,0,062f4
668,668,0,0,062f4
669,669,0,0,062f4
670,670,0,0,062f4
671,671,0,0,062f4
672,672,0,0,062f4
673,673,0,0,062f4
674,674,0,0,062f4
675,675,0,0,062f4
676,676,0,0,062f4
677,677,0,0,062f4
678,678,0,0,062f4
679,679,0,0,062f4
680,680,0,0,062f4
681,681,0,0,062f4
682,682,0,0,062f4
683,683,0,0,062f4
684,684,0,0,062f4
685,685,0,0,062f4
686,686,0,0,062f4
687,687,0,0,062f4
688,688,0,1,062f4
689,689,0,1,062f4
690,690,0,1,062f4
691,691,0,1,062f4
692,692,0,0,062f4
693,693,0,0,062f4
694,694,0,0,062f4
695,695,0,0,062f4
696,696,0,0,3ffff
697,697,0,0,3ffff
698,698,0,0,3ffff
699,699,0,0,3ffff
700,700,0,0,3ffff
701,701,0,0,3ffff
702,702,0,0,3ffff
703,703,0,0,3ffff
704,704,0,0,3ffff
705,705,0,0,3ffff
706,706,0,0,3ffff
707,707,0,0,3ffff
708,708,0,0,3ffff
709,709,0,0,3ffff
710,710,0,0,3ffff
711,711,0,0,3ffff
712,712,0,0,3ffff
713,713,0,0,3ffff
714,714,0,0,3ffff
715,715,0,0,3fffe
716,716,0,0,3fffc
717,717,0,0,3fffc
718,718,0,0,3fff8
719,719,0,0,3fff1
720,720,0,0,3ffe2
721,721,0,0,3ffe4
722,722,0,0,3ffc4
723,723,0,0,3ff89
724,724,0,0,3ff12
725,725,0,0,3fe24
726,726,0,0,3fe69
727,727,0,0,3fc49
728,728,0,0,3f893
729,729,0,0,3f127
730,730,0,0,3e24f
731,731,0,0,3e28f
732,732,0,0,3c49f
733,733,0,0,3893f
734,734,0,0,3127f
735,735,0,0,224ff
736,736,0,0,229ff
737,737,0,0,049ff
738,738,0,0,049ff
739,739,0,0,049ff
740,740,0,0,049ff
741,741,0,0,049ff
742,742,0,0,049ff
743,743,0,0,049ff
744,744,0,0,049ff
745,745,0,0,049ff
746,746,0,0,049ff
747,747,0,0,049ff
748,748,0,0,049ff
749,749,0,0,049ff
750,750,0,0,049ff
751,751,0,0,049ff
752,752,0,0,049ff
753,753,0,0,049ff
754,754,0,0,049ff
755,755,0,0,049ff
756,756,0,0,049ff
757,757,0,0,049ff
758,758,0,0,049ff
759,759,0,0,049ff
760,760,0,0,049ff
761,761,0,0,049ff
762,762,0,0,049ff
763,763,0,1,049ff
764,764,0,1,049ff
765,765,0,1,049ff
766,766,0,1,049ff
767,767,0,0,049ff
768,768,0,0,049ff
769,769,0,0,049ff
770,770,0,0,049ff
771,771,0,0,3ffff
772,772,0,0,3ffff
773,773,0,0,3ffff
774,774,0,0,3ffff
775,775,0,0,3ffff
776,776,0,0,3ffff
777,777,0,0,3ffff
778,778,0,0,3ffff
779,779,0,0,3ffff
780,780,0,0,3ffff
781,781,0,0,3ffff
782,782,0,0,3ffff
783,783,0,0,3ffff
784,784,0,0,3ffff
785,785,0,0,3ffff
786,786,0,0,3ffff
787,787,0,0,3ffff
788,788,0,0,3ffff
789,789,0,0,3ffff
790,790,0,0,3ffff
791,791,0,0,3fffe
792,792,0,0,3fffe
793,793,0,0,3fffc
794,794,0,0,3fff9
795,795,0,0,3fff3
796,796,0,0,3fff6
797,797,0,0,3ffe6
798,798,0,0,3ffcc
799,799,0,0,3ff98
800,800,0,0,3ff30
801,801,0,0,3fe71
802,802,0,0,3fe61
803,803,0,0,3fcc2
804,804,0,0,3f985
805,805,0,0,3f30a
806,806,0,0,3e605
807,807,0,0,3e615
808,808,0,0,3cc2a
809,809,0,0,39855
810,810,0,0,330aa
811,811,0,0,22164
812,812,0,0,26154
813,813,0,0,26154
814,814,0,0,26154
815,815,0,0,26154
816,816,0,0,26154
817,817,0,0,26154
818,818,0,0,26154
819,819,0,0,26154
820,820,0,0,26154
821,821,0,0,26154
822,822,0,0,26154
823,823,0,0,26154
824,824,0,0,26154
825,825,0,0,26154
826,826,0,0,26154
827,827,0,0,26154
828,828,0,0,26154
829,829,0,0,26154
830,830,0,0,26154
831,831,0,0,26154
832,832,0,0,26154
833,833,0,0,26154
834,834,0,0,26154
835,835,0,0,26154
836,836,0,0,26154
837,837,0,0,26154
838,838,0,1,26154
839,839,0,1,26154
840,840,0,1,26154
841,841,0,1,26154
842,842,0,0,26154
843,843,0,0,26154
844,844,0,0,26154
845,845,0,0,26154
846,846,0,0,3ffff
847,847,0,0,3ffff
848,848,0,0,3ffff
849,849,0,0,3ffff
850,850,0,0,3ffff
851,851,0,0,3ffff
852,852,0,0,3ffff
853,853,0,0,3ffff
854,854,0,0,3ffff
855,855,0,0,3ffff
856,856,0,0,3ffff
857,857,0,0,3ffff
858,858,0,0,3ffff
859,859,0,0,3ffff
